ST	emm
emm89.14	emm89.14
emm89.16	emm89.16
emm89.17	emm89.17
emm89.18	emm89.18
emm89.19	emm89.19
emm89.1	emm89.1
emm89.20	emm89.20
emm89.21	emm89.21
emm89.22	emm89.22
emm89.23	emm89.23
emm89.24	emm89.24
emm89.2	emm89.2
emm89.3	emm89.3
emm89.4	emm89.4
emm89.5	emm89.5
emm89.6	emm89.6
emm89.7	emm89.7
emm89.8	emm89.8
emm89.9	emm89.9
emm90.0	emm90.0
emm90.1	emm90.1
emm90.2	emm90.2
emm90.3	emm90.3
emm90.4b	emm90.4b
emm90.4	emm90.4
emm9.0	emm9.0
emm91.0	emm91.0
emm91.1	emm91.1
emm91.2	emm91.2
emm9.1	emm9.1
emm92.0	emm92.0
emm9.2	emm9.2
emm93.0	emm93.0
emm93.1	emm93.1
emm93.2	emm93.2
emm93.3	emm93.3
emm93.4	emm93.4
emm93.5	emm93.5
emm9.3	emm9.3
emm94.0	emm94.0
emm94.1	emm94.1
emm94.2	emm94.2
emm9.4	emm9.4
emm95.0	emm95.0
emm95.1	emm95.1
emm9.5	emm9.5
emm96.0	emm96.0
emm9.6	emm9.6
emm97.0	emm97.0
emm97.1	emm97.1
emm98.0	emm98.0
emm98.1	emm98.1
emm98.2	emm98.2
emm98.3	emm98.3
emm99.0	emm99.0
emm99.1	emm99.1
emm99.2	emm99.2
emm99.3	emm99.3
emm99.4	emm99.4
emm99.5	emm99.5
emmG2.0	emmG2.0
emmG3.0	emmG3.0
stC1400.0	stC1400.0
stC1400.10	stC1400.10
ti775	ti775
stC1400.1	stC1400.1
stC1400.2	stC1400.2
stC1400.3	stC1400.3
stC1400.4	stC1400.4
stC1400.5	stC1400.5
stC1400.6	stC1400.6
stC1400.7	stC1400.7
stC1400.8	stC1400.8
stC1400.9	stC1400.9
stC1741.0	stC1741.0
stC210.0	stC210.0
stC2sk.0	stC2sk.0
stC2sk.1	stC2sk.1
stC2sk.2	stC2sk.2
stC36.0	stC36.0
stC36.1	stC36.1
stC36.2	stC36.2
stC36.3	stC36.3
stC36.4	stC36.4
stC36.5	stC36.5
stC36.6	stC36.6
stC36.7	stC36.7
stC36.8	stC36.8
stC36.9	stC36.9
stC37.0	stC37.0
stC3852.0a	stC3852.0a
stC46.0	stC46.0
stC46.1	stC46.1
stC5344.0	stC5344.0
stC5344.1	stC5344.1
stC5345.0	stC5345.0
stC5345.1	stC5345.1
stC5345.2	stC5345.2
stC5345.3	stC5345.3
stC57.0	stC57.0
stC58.0	stC58.0
stC6746.0	stC6746.0
stC6886.0	stC6886.0
stC6979.0	stC6979.0
stC74a.0	stC74a.0
stC74a.1	stC74a.1
stC74a.2	stC74a.2
stC74a.3	stC74a.3
stC74a.4	stC74a.4
stC7505.0	stC7505.0
stC7901.0	stC7901.0
stC7934.0	stC7934.0
stC839.0	stC839.0
stC839.1	stC839.1
stC839.2	stC839.2
stC839.3	stC839.3
stC839.4	stC839.4
stC839.5	stC839.5
stC839.6	stC839.6
stC922.0	stC922.0
stC9431.0	stC9431.0
stCN204.0	stCN204.0
stC-NSRT2.0	stC-NSRT2.0
stCNSRT2.1	stCNSRT2.1
stCQ343.0	stCQ343.0
stG10.0	stG10.0
stG10.1	stG10.1
stG10.2	stG10.2
stG10.3	stG10.3
stG10.4	stG10.4
stG11.0	stG11.0
stG120.0	stG120.0
stG120.1	stG120.1
stG1389.0	stG1389.0
stG1451.0	stG1451.0
stG166b	stG166b
stG166b.1	stG166b.1
stG166b.2	stG166b.2
stG1750.0	stG1750.0
stG2078.0	stG2078.0
stG2078.1	stG2078.1
stG2078.2	stG2078.2
stG2078.3	stG2078.3
stG211.0	stG211.0
stG211.1	stG211.1
stG228.0	stG228.0
stG245.0	stG245.0
stG245.1b	stG245.1b
stG245.1	stG245.1
stG2574.0	stG2574.0
stG2574.1	stG2574.1
stG2691.0	stG2691.0
stG2908.0	stG2908.0
stG3251.0	stG3251.0
st3343.0	st3343.0
stG3390.0	stG3390.0
stG3442.0	stG3442.0
stG351.0	stG351.0
stG351.1	stG351.1
stG354.0	stG354.0
stG354.1	stG354.1
stG4222.0	stG4222.0
stG4222.1	stG4222.1
stG4545.0	stG4545.0
stG480.0	stG480.0
stG480.1	stG480.1
stG480.2	stG480.2
stG480.3	stG480.3
stG480.4	stG480.4
stG480.5	stG480.5
stG480.6	stG480.6
stG480.7	stG480.7
stG480.8	stG480.8
stG4831.0	stG4831.0
stG4831.1	stG4831.1
stG485.0	stG485.0
stG485.1	stG485.1
stG485.2	stG485.2
stG4880.0	stG4880.0
stG4974.0	stG4974.0
stG4974.1	stG4974.1
stG4974.2	stG4974.2
stG5063.0	stG5063.0
stG507.1	stG507.1
stG5420.0	stG5420.0
stG6.0	stG6.0
stG6.10	stG6.10
stG6.1	stG6.1
stG62647.0	stG62647.0
stG6.2	stG6.2
stG6.3	stG6.3
stG643.0	stG643.0
stG643.1	stG643.1
stG6.4	stG6.4
stG652.0	stG652.0
stG652.1	stG652.1
stG652.2	stG652.2
stG652.3	stG652.3
stG652.4	stG652.4
stG652.5	stG652.5
stG653.0	stG653.0
stG653.1	stG653.1
stG653.2	stG653.2
stG6.5	stG6.5
stG663.0	stG663.0
stG6.6	stG6.6
stG6792.0	stG6792.0
stG6792.1	stG6792.1
stG6792.2	stG6792.2
stG6792.3	stG6792.3
stG6792.4	stG6792.4
stG6.7	stG6.7
stG6.8	stG6.8
stG6.9	stG6.9
stG7860.0	stG7860.0
stG7882.0	stG7882.0
stG7882.1	stG7882.1
stG7882.2	stG7882.2
stG840.0	stG840.0
stG840.1	stG840.1
stG866.0	stG866.0
stG97.0	stG97.0
stGL265.0	stGL265.0
stGL265.1	stGL265.1
stGLP1.0	stGLP1.0
stGLP2.0	stGLP2.0
stGLP3.0	stGLP3.0
stGM203.0	stGM203.0
stGM203.1	stGM203.1
stGM220.0	stGM220.0
stGrobn.0	stGrobn.0
stGVP1.0	stGVP1.0
stL1376.0	stL1376.0
stL1376.1	stL1376.1
stL1929.0	stL1929.0
stL1929.1	stL1929.1
stL2764.0	stL2764.0
