ST	emm
emm1.44	emm1.44
emm14.4	emm14.4
emm145.0	emm145.0
emm1.45	emm1.45
emm14.5	emm14.5
emm146.0	emm146.0
emm146.1	emm146.1
stKNB2.2	stKNB2.2
stKNB2.3	stKNB2.3
emm1.46	emm1.46
emm14.6	emm14.6
emm147.0.	emm147.0.
emm1.47	emm1.47
emm14.7	emm14.7
emm148.0	emm148.0
emm148.1	emm148.1
emm148.2	emm148.2
emm1.48	emm1.48
emm14.8	emm14.8
emm149.0	emm149.0
emm149.1	emm149.1
emm149.2	emm149.2
emm1.49	emm1.49
emm14.9	emm14.9
emm150.0	emm150.0
emm1.50	emm1.50
emm15.0	emm15.0
emm151.0	emm151.0
emm1.51	emm1.51
emm15.1	emm15.1
emm152.0	emm152.0
emm1.52	emm1.52
emm15.2	emm15.2
emm153.0	emm153.0
emm1.53	emm1.53
emm154.0	emm154.0
emm1.54	emm1.54
emm155.0	emm155.0
emm1.55	emm1.55
emm156.0	emm156.0
emm1.56	emm1.56
emm157.0	emm157.0
emm1.57	emm1.57
emm158.0	emm158.0
emm1.58	emm1.58
emm159.0	emm159.0
emm1.59	emm1.59
emm1.5	emm1.5
emm160.0	emm160.0
emm1.60	emm1.60
emm161.0	emm161.0
emm1.61	emm1.61
emm162.0	emm162.0
emm1.62	emm1.62
emm163.0	emm163.0
emm1.63	emm1.63
emm164.0	emm164.0
emm164.1	emm164.1
emm164.2	emm164.2
emm164.3	emm164.3
emm164.4	emm164.4
emm164.5	emm164.5
emm1.64	emm1.64
emm165.0	emm165.0
emm1	emm1
emm166.0	emm166.0
emm166.1	emm166.1
emm166.2	emm166.2
emm1.66	emm1.66
emm167.0	emm167.0
emm1.67	emm1.67
emm168.0	emm168.0
emm168.1	emm168.1
emm168.2	emm168.2
emm1.68	emm1.68
emm169.0	emm169.0
emm169.1	emm169.1
emm169.2	emm169.2
emm169.3	emm169.3
emm169.4	emm169.4
emm1.69	emm1.69
emm1.6	emm1.6
emm170.0	emm170.0
emm170.1	emm170.1
emm1.70	emm1.70
emm17.0	emm17.0
emm171.0	emm171.0
emm1.71	emm1.71
emm17.1	emm17.1
emm172.0	emm172.0
emm172.1	emm172.1
emm1.72	emm1.72
emm17.2	emm17.2
emm173.0	emm173.0
emm1.73	emm1.73
emm17.3	emm17.3
emm174.0	emm174.0
emm174.1	emm174.1
emm1.74	emm1.74
emm175.0	emm175.0
emm175.1	emm175.1
emm1.75	emm1.75
emm176.0	emm176.0
emm1.76	emm1.76
emm177.0	emm177.0
emm178.0	emm178.0
emm179.0	emm179.0
emm1.7	emm1.7
emm180.0	emm180.0
emm180.1	emm180.1
emm18.0	emm18.0
emm18.10	emm18.10
emm181.0	emm181.0
emm18.11	emm18.11
emm18.12	emm18.12
emm18.13	emm18.13
emm18.14	emm18.14
emm18.15	emm18.15
emm18.16	emm18.16
emm18.17	emm18.17
emm18.18	emm18.18
emm18.19	emm18.19
emm18.1	emm18.1
emm18.20	emm18.20
emm182.0	emm182.0
emm18.21	emm18.21
emm182.1	emm182.1
emm18.22	emm18.22
emm18.26	emm18.26
emm18.27	emm18.27
emm18.28	emm18.28
emm18.29	emm18.29
emm18.2	emm18.2
emm18.30	emm18.30
emm183.0	emm183.0
emm183.1	emm183.1
emm183.2	emm183.2
emm184.0	emm184.0
emm18.4	emm18.4
emm185.0	emm185.0
emm185.1	emm185.1
emm18.5	emm18.5
emm186.0	emm186.0
emm186.1	emm186.1
emm186.2	emm186.2
emm186.3	emm186.3
emm18.6	emm18.6
st3211.0	st3211.0
emm18.7	emm18.7
emm188.0	emm188.0
emm18.8	emm18.8
emm189.0	emm189.0
emm189.1	emm189.1
emm18.9	emm18.9
emm1.8	emm1.8
emm190.0	emm190.0
emm19.0	emm19.0
emm191.0	emm191.0
emm192.0	emm192.0
emm192.1	emm192.1
emm193.0	emm193.0
emm193.1	emm193.1
emm19.3	emm19.3
emm194.0	emm194.0
emm19.4	emm19.4
emm195.0	emm195.0
emm19.5	emm19.5
emm196.0	emm196.0
emm196.1	emm196.1
emm19.6	emm19.6
emm197.0	emm197.0
emm197.1	emm197.1
emm197.2	emm197.2
emm19.7	emm19.7
emm198.0	emm198.0
emm19.8	emm19.8
emm199.0	emm199.0
emm19.9	emm19.9
emm1.9	emm1.9
emm200.0	emm200.0
emm201.0	emm201.0
emm202.0	emm202.0
emm202.1	emm202.1
emm203.0	emm203.0
emm203.1	emm203.1
emm203.2	emm203.2
emm204.0	emm204.0
emm205.0	emm205.0
emm205.1	emm205.1
emm206.0	emm206.0
emm207.0	emm207.0
emm207.1	emm207.1
emm208.0	emm208.0
emm209.0	emm209.0
emm2.0	emm2.0
emm210.0	emm210.0
emm211.0	emm211.0
emm212.0	emm212.0
emm213.0	emm213.0
emm214.0	emm214.0
emm215.0	emm215.0
emm216.0	emm216.0
emm217.0	emm217.0
emm218.0	emm218.0
emm218.1	emm218.1
emm218.2	emm218.2
emm218.3	emm218.3
emm219.0	emm219.0
emm2.1	emm2.1
emm220.0	emm220.0
emm22.0	emm22.0
emm221.0	emm221.0
emm22.11	emm22.11
emm22.12	emm22.12
emm22.13	emm22.13
emm22.14	emm22.14
emm22.1	emm22.1
emm222.0	emm222.0
emm222.1	emm222.1
emm222.2	emm222.2
emm222.3	emm222.3
emm22.2	emm22.2
emm223.0	emm223.0
emm22.3	emm22.3
emm224.0	emm224.0
emm22.4	emm22.4
emm225.0	emm225.0
emm22.5	emm22.5
emm226.0	emm226.0
emm22.6	emm22.6
emm227.0	emm227.0
emm227.1	emm227.1
emm22.7	emm22.7
emm228.0	emm228.0
emm22.8	emm22.8
emm229.0	emm229.0
emm22.9	emm22.9
emm2.2	emm2.2
emm230.0	emm230.0
emm23.0	emm23.0
emm231.0	emm231.0
emm23.1	emm23.1
emm232.0	emm232.0
emm232.1	emm232.1
emm23.2	emm23.2
emm233.0	emm233.0
emm233.1	emm233.1
emm234.0	emm234.0
emm234.1	emm234.1
emm234.2	emm234.2
emm234.3	emm234.3
emm234.4	emm234.4
emm234.5	emm234.5
emm234.6	emm234.6
emm234.7	emm234.7
emm235.0	emm235.0
emm236.0	emm236.0
emm236.1	emm236.1
emm236.2	emm236.2
emm237.0	emm237.0
emm238.0	emm238.0
emm238.1	emm238.1
emm238.2	emm238.2
emm238.3	emm238.3
emm239.0	emm239.0
emm239.1	emm239.1
emm2.3	emm2.3
emm240.0	emm240.0
emm240.1	emm240.1
emm24.0	emm24.0
emm241.0	emm241.0
emm24.1	emm24.1
emm242.0	emm242.0
emm24.2	emm24.2
emm243.0	emm243.0
emm24.3	emm24.3
emm244.0	emm244.0
emm24.4	emm24.4
emm24.5	emm24.5
emm24.6	emm24.6
emm24.7	emm24.7
emm24.8	emm24.8
emm25.0	emm25.0
emm25.1	emm25.1
emm25.2	emm25.2
emm25.3	emm25.3
emm25.4	emm25.4
emm26.0	emm26.0
emm26.1	emm26.1
emm26.2	emm26.2
emm27.0	emm27.0
emm27.1	emm27.1
emm27.2	emm27.2
emm27.3	emm27.3
emm27.4	emm27.4
emm27.5	emm27.5
emm27.6	emm27.6
emm27.7	emm27.7
emm28.0	emm28.0
emm28.10	emm28.10
emm28.11	emm28.11
emm28.12	emm28.12
emm28.13	emm28.13
emm28.1	emm28.1
emm28.2	emm28.2
emm28.3	emm28.3
emm28.4	emm28.4
emm28.5	emm28.5
emm28.6	emm28.6
emm28.7	emm28.7
emm28.8	emm28.8
emm28.9	emm28.9
emm29.0	emm29.0
emm29.10	emm29.10
emm29.1	emm29.1
emm29.2	emm29.2
emm29.3	emm29.3
emm29.4	emm29.4
emm29.5	emm29.5
emm29.6	emm29.6
emm29.7	emm29.7
emm29.8	emm29.8
emm29.9	emm29.9
emm30.0	emm30.0
emm30.10	emm30.10
emm30.11	emm30.11
emm30.12	emm30.12
emm30.13	emm30.13
emm30.1	emm30.1
emm30.2	emm30.2
emm30.3	emm30.3
emm30.4	emm30.4
emm30.5	emm30.5
emm30.6	emm30.6
emm30.7	emm30.7
emm30.8	emm30.8
emm30.9	emm30.9
emm3.0	emm3.0
emm3.10	emm3.10
emm31.0	emm31.0
emm3.11	emm3.11
emm31.1	emm31.1
emm3.12	emm3.12
emm31.2	emm31.2
emm3.13	emm3.13
emm31.3	emm31.3
emm3.14	emm3.14
emm31.4	emm31.4
emm3.15	emm3.15
emm31.5	emm31.5
emm3.16	emm3.16
emm31.6	emm31.6
emm3.17	emm3.17
emm3.18	emm3.18
emm3.19	emm3.19
emm3.1	emm3.1
emm3.20	emm3.20
emm32.0	emm32.0
emm3.21	emm3.21
emm32.1	emm32.1
emm3.22	emm3.22
emm32.2	emm32.2
emm3.23	emm3.23
emm32.3	emm32.3
emm3.24	emm3.24
emm3.25	emm3.25
emm3.26	emm3.26
emm3.27	emm3.27
emm3.28	emm3.28
emm3.29	emm3.29
emm3.2	emm3.2
emm3.30	emm3.30
emm33.0	emm33.0
emm3.31	emm3.31
emm33.1	emm33.1
emm3.32	emm3.32
emm33.2	emm33.2
emm3.33	emm3.33
emm33.3	emm33.3
emm3.34	emm3.34
emm3.35	emm3.35
emm3.36	emm3.36
emm3.37	emm3.37
emm3.38	emm3.38
emm3.39	emm3.39
emm3.3	emm3.3
emm3.40	emm3.40
emm34.0	emm34.0
emm3.41	emm3.41
emm3.42	emm3.42
emm3.43	emm3.43
emm3.44	emm3.44
emm3.45	emm3.45
emm3.46	emm3.46
emm3.47	emm3.47
emm3.48	emm3.48
emm3.49	emm3.49
emm3.4	emm3.4
emm3.50	emm3.50
emm3.51	emm3.51
emm3.52	emm3.52
emm3.53	emm3.53
emm3.54	emm3.54
emm3.55	emm3.55
emm3.56	emm3.56
emm3.57	emm3.57
emm3.58	emm3.58
emm3.59	emm3.59
emm3.5	emm3.5
emm3.60	emm3.60
emm36.0	emm36.0
emm3.61	emm3.61
emm36.1	emm36.1
emm3.62	emm3.62
emm36.2	emm36.2
emm3.63	emm3.63
emm36.3	emm36.3
emm3.64	emm3.64
emm36.4	emm36.4
emm3.65	emm3.65
emm36.5	emm36.5
emm3.66	emm3.66
emm36.6	emm36.6
emm3.67	emm3.67
emm3.68	emm3.68
emm3.69	emm3.69
emm3.6	emm3.6
emm3.70	emm3.70
emm37.0	emm37.0
emm3.71	emm3.71
emm3.72	emm3.72
emm3.73	emm3.73
emm3.74	emm3.74
emm3.75	emm3.75
emm3.76	emm3.76
emm3.77	emm3.77
emm3.78	emm3.78
emm3.79	emm3.79
emm3.7	emm3.7
emm3.80	emm3.80
emm38.0	emm38.0
emm3.81	emm3.81
emm38.1	emm38.1
emm3.82	emm3.82
emm3.83	emm3.83
emm3.84	emm3.84
emm3.85	emm3.85
emm3.86	emm3.86
emm3.87	emm3.87
emm3.88	emm3.88
emm3.89	emm3.89
emm3.8	emm3.8
emm3.90	emm3.90
emm39.0	emm39.0
emm3.91	emm3.91
emm39.1	emm39.1
emm39.2	emm39.2
emm39.3	emm39.3
emm39.4	emm39.4
emm3.9	emm3.9
emm4.0	emm4.0
emm4.10	emm4.10
emm41.0	emm41.0
emm4.11	emm4.11
emm41.1	emm41.1
emm4.12	emm4.12
emm41.2	emm41.2
emm4.13	emm4.13
emm41.3	emm41.3
emm4.14	emm4.14
emm41.4	emm41.4
emm4.15	emm4.15
emm41.5	emm41.5
emm41.6	emm41.6
emm4.1	emm4.1
emm42.0	emm42.0
emm42.1	emm42.1
emm42.2	emm42.2
emm42.3	emm42.3
emm4.2	emm4.2
emm43.0	emm43.0
emm43.10	emm43.10
emm43.11	emm43.11
emm43.1	emm43.1
emm43.2	emm43.2
emm43.3	emm43.3
emm43.4	emm43.4
emm43.5	emm43.5
emm43.6	emm43.6
emm43.7	emm43.7
emm43.8	emm43.8
emm43.9	emm43.9
emm4.3	emm4.3
emm44.0	emm44.0
emm44.1	emm44.1
emm44.2	emm44.2
emm44.3	emm44.3
emm44.4	emm44.4
emm44.5	emm44.5
emm4.4	emm4.4
emm4.5	emm4.5
emm46.0	emm46.0
emm46.1	emm46.1
emm46.2	emm46.2
emm4.6	emm4.6
emm47.0	emm47.0
emm4.7	emm4.7
emm48.0	emm48.0
emm48.1	emm48.1
emm4.8	emm4.8
emm49.0	emm49.0
emm49.1	emm49.1
emm49.2	emm49.2
emm49.3	emm49.3
emm49.4	emm49.4
emm49.5	emm49.5
emm49.6	emm49.6
emm49.7	emm49.7
emm49.8	emm49.8
emm4.9	emm4.9
emm50.0	emm50.0
emm50.1	emm50.1
emm50.2	emm50.2
emm5.0	emm5.0
emm5.100	emm5.100
emm5.101	emm5.101
emm5.10	emm5.10
emm51.0	emm51.0
emm5.11	emm5.11
emm5.12	emm5.12
emm5.13	emm5.13
emm5.14	emm5.14
emm5.15	emm5.15
emm5.16	emm5.16
emm5.17	emm5.17
emm5.18	emm5.18
emm5.19	emm5.19
emm5.20	emm5.20
emm52.0	emm52.0
emm5.21	emm5.21
emm52.1	emm52.1
emm5.22	emm5.22
emm52.2	emm52.2
emm5.23	emm5.23
emm5.24	emm5.24
emm5.25	emm5.25
emm5.26	emm5.26
emm5.27	emm5.27
emm5.28	emm5.28
emm5.29	emm5.29
emm5.30	emm5.30
emm53.0	emm53.0
emm53.10	emm53.10
emm5.31	emm5.31
emm53.1	emm53.1
emm5.32	emm5.32
emm53.2	emm53.2
emm5.33	emm5.33
emm53.3	emm53.3
emm5.34	emm5.34
emm53.4	emm53.4
emm5.35	emm5.35
emm53.5	emm53.5
emm5.36	emm5.36
emm53.6	emm53.6
emm5.37	emm5.37
emm53.7	emm53.7
emm5.38	emm5.38
emm53.8	emm53.8
emm5.39	emm5.39
emm53.9	emm53.9
emm5.3	emm5.3
emm5.40	emm5.40
emm54.0	emm54.0
emm5.41	emm5.41
emm54.1	emm54.1
emm5.42	emm5.42
emm5.43	emm5.43
emm5.44	emm5.44
emm5.45	emm5.45
emm5.46	emm5.46
emm5.47	emm5.47
emm5.48	emm5.48
emm5.49	emm5.49
emm5.4	emm5.4
emm5.50	emm5.50
emm55.0	emm55.0
emm5.51	emm5.51
emm55.1	emm55.1
emm5.52	emm5.52
emm5.53	emm5.53
emm5.54	emm5.54
emm5.55	emm5.55
emm5.56	emm5.56
emm5.57	emm5.57
emm5.58	emm5.58
emm5.59	emm5.59
emm5.5	emm5.5
emm5.60	emm5.60
emm56.0	emm56.0
emm5.61	emm5.61
emm56.1	emm56.1
emm5.62	emm5.62
emm56.2	emm56.2
emm5.63	emm5.63
emm5.64	emm5.64
emm5.65	emm5.65
emm5.66	emm5.66
emm5.67	emm5.67
emm5.68	emm5.68
emm5.69	emm5.69
emm5.6	emm5.6
emm5.70	emm5.70
emm57.0	emm57.0
emm5.71	emm5.71
emm57.1	emm57.1
emm5.72	emm5.72
emm57.2	emm57.2
emm5.73	emm5.73
emm57.3	emm57.3
emm5.74	emm5.74
emm57.4	emm57.4
emm5.75	emm5.75
emm5.76	emm5.76
emm5.77	emm5.77
emm5.78	emm5.78
emm5.79	emm5.79
emm5.7	emm5.7
emm5.80	emm5.80
emm58.0	emm58.0
emm58.10	emm58.10
emm58.11	emm58.11
emm58.12	emm58.12
emm58.13	emm58.13
emm58.14	emm58.14
emm58.15	emm58.15
emm5.81	emm5.81
emm58.1	emm58.1
emm5.82	emm5.82
emm58.2	emm58.2
emm5.83	emm5.83
emm58.3	emm58.3
emm5.84	emm5.84
emm58.4	emm58.4
emm5.85	emm5.85
emm58.5	emm58.5
emm5.86	emm5.86
emm58.6	emm58.6
emm5.87	emm5.87
emm58.7	emm58.7
emm5.88	emm5.88
emm58.8	emm58.8
emm5.89	emm5.89
emm58.9	emm58.9
emm5.8	emm5.8
emm5.90	emm5.90
emm59.0	emm59.0
emm5.91	emm5.91
emm5.92	emm5.92
emm5.93	emm5.93
emm5.94	emm5.94
emm5.95	emm5.95
emm5.96	emm5.96
emm5.97	emm5.97
emm5.98	emm5.98
emm5.99	emm5.99
emm5.9	emm5.9
emm60.0	emm60.0
emm60.1	emm60.1
emm60.2	emm60.2
emm60.3	emm60.3
emm60.4	emm60.4
emm60.5	emm60.5
emm60.6	emm60.6
emm60.7	emm60.7
emm60.8	emm60.8
emm6.0	emm6.0
emm6.10	emm6.10
emm6.11	emm6.11
emm6.12	emm6.12
emm6.13	emm6.13
emm6.14	emm6.14
emm6.15	emm6.15
emm6.16	emm6.16
emm6.17	emm6.17
emm6.18	emm6.18
emm6.19	emm6.19
emm6.1	emm6.1
emm6.20	emm6.20
emm6.21	emm6.21
emm6.22	emm6.22
emm6.23	emm6.23
emm6.24	emm6.24
emm6.25	emm6.25
emm6.26	emm6.26
emm6.27	emm6.27
emm6.28	emm6.28
emm6.29	emm6.29
emm6.30	emm6.30
emm63.0	emm63.0
emm6.31	emm6.31
emm63.1	emm63.1
emm6.32	emm6.32
emm63.2	emm63.2
emm6.33	emm6.33
emm63.3	emm63.3
emm6.34	emm6.34
emm63.4	emm63.4
emm6.35	emm6.35
emm6.36	emm6.36
emm6.37	emm6.37
emm6.38	emm6.38
emm6.39	emm6.39
emm6.3	emm6.3
emm6.40	emm6.40
emm64.0	emm64.0
emm6.41	emm6.41
emm64.1	emm64.1
emm6.42	emm6.42
emm64.2	emm64.2
emm6.43	emm6.43
emm64.3	emm64.3
emm6.44	emm6.44
emm64.4	emm64.4
emm6.45	emm6.45
emm64.5	emm64.5
emm6.46	emm6.46
emm6.47	emm6.47
emm6.48	emm6.48
emm6.49	emm6.49
emm6.4	emm6.4
emm6.50	emm6.50
emm65.0	emm65.0
emm6.51	emm6.51
emm65.1	emm65.1
emm6.52	emm6.52
emm65.2	emm65.2
emm6.53	emm6.53
emm65.3	emm65.3
emm6.54	emm6.54
emm65.4	emm65.4
emm6.55	emm6.55
emm6.56	emm6.56
emm6.57	emm6.57
emm6.58	emm6.58
emm6.59	emm6.59
emm6.5	emm6.5
emm6.60	emm6.60
emm66.0	emm66.0
emm6.61	emm6.61
emm66.1	emm66.1
emm6.62	emm6.62
emm6.63	emm6.63
emm6.64	emm6.64
emm6.65	emm6.65
emm6.66	emm6.66
emm6.67	emm6.67
emm6.68	emm6.68
emm6.69	emm6.69
emm6.6	emm6.6
emm6.70	emm6.70
emm67.0	emm67.0
emm6.71	emm6.71
emm6.72	emm6.72
emm6.73	emm6.73
emm6.74	emm6.74
emm6.75	emm6.75
emm6.76	emm6.76
emm6.77	emm6.77
emm6.78	emm6.78
emm6.79	emm6.79
emm6.7	emm6.7
emm6.80	emm6.80
emm68.0	emm68.0
emm6.81	emm6.81
emm68.1	emm68.1
emm6.82	emm6.82
emm68.2	emm68.2
emm6.83	emm6.83
emm68.3	emm68.3
emm6.84	emm6.84
emm68.4	emm68.4
emm6.85	emm6.85
emm68.5	emm68.5
emm6.86	emm6.86
emm68.6	emm68.6
emm6.87	emm6.87
emm6.8	emm6.8
emm6.9	emm6.9
emm70.0	emm70.0
emm71.0	emm71.0
emm71.1	emm71.1
emm71.2	emm71.2
emm71.3	emm71.3
emm72.0	emm72.0
emm73.0	emm73.0
emm73.1	emm73.1
emm73.2	emm73.2
emm73.3	emm73.3
emm73.4	emm73.4
emm73.5	emm73.5
emm73.6	emm73.6
emm73.7	emm73.7
emm73.8	emm73.8
emm73.9	emm73.9
emm74.0	emm74.0
emm75.0	emm75.0
emm75.1	emm75.1
emm75.2	emm75.2
emm75.3	emm75.3
emm76.0	emm76.0
emm76.1	emm76.1
emm76.2	emm76.2
emm76.3	emm76.3
emm76.4	emm76.4
emm76.5	emm76.5
emm76.6	emm76.6
emm76.7	emm76.7
emm77.0	emm77.0
emm77.1	emm77.1
emm77.2	emm77.2
emm77.3	emm77.3
emm77.4	emm77.4
emm78.0	emm78.0
emm78.1	emm78.1
emm78.3	emm78.3
emm78.4	emm78.4
emm79.0	emm79.0
emm79.1	emm79.1
emm79.2	emm79.2
emm79.3	emm79.3
emm79.4	emm79.4
emm79.5	emm79.5
emm80.0	emm80.0
emm80.1	emm80.1
emm80.2	emm80.2
emm80.3	emm80.3
emm8.0	emm8.0
emm81.0	emm81.0
emm81.10	emm81.10
emm81.11	emm81.11
emm81.1	emm81.1
emm81.2	emm81.2
emm81.3	emm81.3
emm81.4	emm81.4
emm81.5	emm81.5
emm81.6	emm81.6
emm81.7	emm81.7
emm81.8	emm81.8
emm81.9	emm81.9
emm8.1	emm8.1
emm82.0	emm82.0
emm82.1	emm82.1
emm82.2	emm82.2
emm82.3	emm82.3
emm82.4	emm82.4
emm8.2	emm8.2
emm83.0	emm83.0
emm83.10	emm83.10
emm83.11	emm83.11
emm83.12	emm83.12
emm83.1	emm83.1
emm83.2	emm83.2
emm83.3	emm83.3
emm83.4	emm83.4
emm83.5	emm83.5
emm83.6	emm83.6
emm83.7	emm83.7
emm83.8	emm83.8
emm83.9	emm83.9
emm84.0	emm84.0
emm84.1	emm84.1
emm85.0	emm85.0
emm85.1	emm85.1
emm86.0	emm86.0
emm86.1	emm86.1
emm86.2	emm86.2
emm87.0	emm87.0
emm87.1	emm87.1
emm87.2	emm87.2
emm87.3	emm87.3
emm87.4	emm87.4
emm87.5	emm87.5
emm87.6	emm87.6
emm87.7	emm87.7
emm87.8	emm87.8
emm88.0	emm88.0
emm88.1	emm88.1
emm88.2	emm88.2
emm88.3	emm88.3
emm88.4	emm88.4
emm88.5	emm88.5
emm88.6	emm88.6
emm89.0b	emm89.0b
emm89.0	emm89.0
emm89.10	emm89.10
emm89.11	emm89.11
emm89.12	emm89.12
emm89.13	emm89.13
